Year,Month,Day,Temp
2015,20,20,68
2015,20,21,67
2015,20,22,67
2015,20,23,67
2015,20,24,67
2015,20,25,67
2015,20,26,69
2015,20,27,65
2015,20,28,64
2015,20,29,63
2015,20,30,69
2015,20,31,71
